participant,percentage_fixation,score
p2,0.5971958597356424,0.391304348
p4,0.36703431372549017,0.52173913
p6,0.631603392402866,0.739130435
p10,0.8921673907921915,0.47826087
p12,0.7735303942324071,0.695652174
p14,0.8301463647163257,0.217391304
p16,0.7862306184819737,0.47826087
p18,0.6131150942672774,0.565217391
p20,0.5941884752541617,0.434782609
p24,0.7698494745810849,0.739130435
p28,0.22245971313077337,0.52173913
p30,0.7676304166224368,0.47826087
p32,0.815679349518277,0.347826087
p34,0.6969242942333368,0.565217391
p36,0.8230489620001957,0.52173913
