num,percentage
1,0.8799243938968687
2,0.6511000093089645
3,0.4225597869250949
4,0.6701100344884218
5,0.8361466645677682
6,0.671050871390881
7,0.5313419325639285
8,0.42299921647638233
9,0.6360940209647311
10,0.5050719647355542
11,0.7813035410110695
12,0.6680056943285458
13,0.5408394237086906
14,0.3684464199646548
15,0.7147462077524163
16,0.6563478505272126
1,0.9019345017391767
2,0.8674492079155651
3,0.6817295958326504
4,0.7578073048016963
5,0.8730981034134414
6,0.8194865451465206
7,0.8746340193312185
8,0.8596014993531552
9,0.8161480513658752
10,0.6547650162941887
11,0.8260458786646709
12,0.8949084060397283
13,0.7555493012897384
14,0.6836175386904499
15,0.8385964611676547
16,0.8412264409006823
